x,vectime,listtime,vecgain
826,389133,1013666,624533
827,299866,860100,560234
828,312833,801100,488267
829,267300,836800,569500
830,323800,828633,504833
831,295733,861300,565567
832,240100,745700,505600
833,438566,980700,542134
834,305233,855800,550567
835,244233,982500,738267
836,308000,1032366,724366
837,309666,876866,567200
838,252000,884266,632266
839,306533,812733,506200
840,410266,897333,487067
841,345466,805733,460267
842,340300,898933,558633
843,402800,1011033,608233
844,398900,902366,503466
845,345300,810066,464766
846,384000,1012066,628066
847,420933,1006200,585267
848,485966,1117500,631534
849,296133,853466,557333
850,322466,1110733,788267
851,346933,1125900,778967
852,576133,994233,418100
853,291200,1057866,766666
854,494366,1094633,600267
855,521966,1184133,662167
856,286766,1016066,729300
857,512300,1150066,637766
858,341500,1058300,716800
859,429633,955466,525833
860,353200,1145333,792133
861,439400,962033,522633
862,269033,916233,647200
863,351333,958366,607033
864,281266,841233,559967
865,341966,926766,584800
866,375500,898166,522666
867,314100,941366,627266
868,388333,931400,543067
869,326233,943333,617100
870,380066,961833,581767
871,295833,1037533,741700
872,284266,1163233,878967
873,326100,981800,655700
874,397900,957000,559100
875,394166,1018066,623900
876,309866,956433,646567
877,483066,1112833,629767
878,322500,1127033,804533
879,507466,1269133,761667
880,408833,1133966,725133
881,484733,1006433,521700
882,276800,1022666,745866
883,543100,1178833,635733
884,370900,1105400,734500
885,321333,1106400,785067
886,295100,937500,642400
887,509466,1064833,555367
888,312966,943466,630500
889,284266,992366,708100
890,305233,1149166,843933
891,467900,1181566,713666
892,459000,1039900,580900
893,469933,1024033,554100
894,281300,940166,658866
895,267066,1074966,807900
896,333666,1217566,883900
897,271433,923433,652000
898,332600,1146133,813533
899,312800,1188000,875200
900,307333,928900,621567
901,310766,1195533,884767
902,309866,1197266,887400
903,279366,931800,652434
904,470966,1062833,591867
905,316533,1161066,844533
906,286833,1134366,847533
907,389566,988366,598800
908,354733,1099400,744667
909,313566,1015066,701500
910,456233,1066133,609900
911,316433,1054566,738133
912,279666,927366,647700
913,314066,1019733,705667
914,314900,963300,648400
915,255933,889900,633967
916,262333,906600,644267
917,331200,938633,607433
918,245266,916533,671267
919,254066,896533,642467
920,282600,1029433,746833
921,284800,944566,659766
922,275733,908400,632667
923,305300,1011400,706100
924,278400,1211900,933500
925,402800,1150466,747666
926,335133,1156100,820967
927,432600,990366,557766
928,369433,1052700,683267
929,522233,1213433,691200
930,364433,1350200,985767
931,322366,1200233,877867
932,422933,1261933,839000
933,305766,1069100,763334
934,315000,1081933,766933
935,343400,1241133,897733
936,607200,1176700,569500
937,404633,1075700,671067
938,387233,1164233,777000
939,373800,1378966,1005166
940,567600,1215000,647400
941,474333,1290733,816400
942,572466,1246766,674300
943,598133,1836133,1238000
944,488300,1418266,929966
945,467966,1450166,982200
946,662633,1470433,807800
947,477633,2963300,2485667
948,643733,1373400,729667
949,619500,1342600,723100
950,2442033,2003466,-438567
951,602266,1368166,765900
952,645733,1437433,791700
953,488566,1326133,837567
954,575000,1409600,834600
955,576266,1420566,844300
956,398766,1348966,950200
957,464900,1348366,883466
958,652633,1508533,855900
959,493700,1250333,756633
960,540866,1281966,741100
961,514066,1255333,741267
962,527433,1326666,799233
963,326000,1135866,809866
964,348533,1168166,819633
965,396000,1330866,934866
966,381266,1262533,881267
967,410900,1137966,727066
968,378500,1150466,771966
969,379066,1151200,772134
970,355233,1186233,831000
971,518466,1395300,876834
972,457366,1345300,887934
973,492733,1305500,812767
974,563133,1319633,756500
975,478933,1460633,981700
976,378500,1169866,791366
977,384333,1204300,819967
978,514300,1339666,825366
979,582233,1433266,851033
980,764366,1608600,844234
981,387900,1440766,1052866
982,592433,1399300,806867
983,399200,1266966,867766
984,329233,1240500,911267
985,353366,1350300,996934
986,606833,1378266,771433
987,574300,1260100,685800
988,337933,1274266,936333
989,454566,1398666,944100
990,622533,1434066,811533
991,331433,1365533,1034100
992,383400,1427100,1043700
993,342533,1195800,853267
994,320033,1228166,908133
995,381966,1332266,950300
996,588933,1375733,786800
997,362333,1152933,790600
998,366800,1282733,915933
999,356833,1272100,915267
1000,353433,1156733,803300
1001,322366,1140766,818400
1002,361933,1384400,1022467
1003,364933,1265633,900700
1004,341433,1157733,816300
1005,492966,1277666,784700
1006,387166,1350133,962967
1007,370200,1167400,797200
1008,367266,1246166,878900
1009,480933,1215633,734700
1010,481633,1256666,775033
1011,362000,1277633,915633
1012,353066,1373333,1020267
1013,317300,1145000,827700
1014,381933,1240800,858867
1015,307466,1318700,1011234
1016,383733,1350800,967067
1017,397400,1279833,882433
1018,305100,1203866,898766
1019,378066,1313466,935400
1020,315900,1194600,878700
1021,422433,1205933,783500
1022,352866,1474366,1121500
1023,308166,1183900,875734
1024,314366,1337566,1023200
1025,339533,1163733,824200
1026,293333,1201600,908267
1027,383400,1143866,760466
1028,313066,1219333,906267
1029,304600,1130666,826066
1030,501733,1388433,886700
1031,327000,1172333,845333
1032,343266,1163000,819734
1033,462000,1318900,856900
